course_code,name,num_students,prof
PHGY216,Principles of Mammalian Physiology ll,67,Christopher Andrew Ward
PHGY290,Investigation of Human Physiological Responses,47,Michael A Adams
POLS112,Enduring Political Debates,76,Andrew Grant
POLS211,Canadian Government,38,Elizabeth Baisley
POLS212,Canadian Politics,81,Rachel Laforest
POLS230,American Elections,29,Emmanuel Ampomah
POLS241,Comparative Politics: Transformations,71,Dalal Daoud
POLS242,Comparative Politics: Contemporary Regimes,53,Oded Haklai
POLS243,"States, Ethnic Diversity, and Conflict",90,Stephen Larin
POLS250,Political Theory: Foundations,60,Colin Farrelly
POLS261,International Politics,36,Wayne S Cox
POLS262,International Political Economy,54,Wayne S Cox
POLS280,"Introduction to Women, Gender, and Politics",65,Yolande Book
POLS284,Introduction to Political Research,56,Quinn Albaugh
POLS285,Introduction to Statistics,60,Kyle Hanniman
POLS312,Political Behaviour,90,Fan Lu
POLS318,The Canadian Welfare State,24,Rachel Laforest
POLS348,Middle East Politics,86,Rida Abu Rass
POLS350,Political Theory: History,25,Åsbjørn Melkevik
POLS358,Critical Perspectives on Contemporary Capitalism,61,Eleanor MacDonald
POLS360,International Relations Theory,46,Stephanie Martel
POLS366,The United Nations,80,Samantha Twietmeyer
POLS367,American Foreign Policy,40,David Haglund
POLS384,Strategies of Political Research,36,Quinn Albaugh
POLS387,Politics and Culture,53,Eleanor MacDonald
POLS388,Politics of Migration,27,Stephen Larin
POLS392,Topics in Canadian Politics,61,Dax D'Orazio
POLS397,Topics in Gender and Politics,53,Mary-Rita Holland
POLS458,Ethics of War and Intervention,37,Stephen Larin
POLS459,"Anarchist Politics, or the Art of Not Being Governed",95,Danielle Delaney
POLS466,Politics of War in Africa,77,Andrew Grant
POLS470,Seminar in International Politics,61,David Haglund
POLS471,Politics and Science in Technological Societies,58,Stephen Larin
POLS478,Politics of Artificial Intelligence,97,Stephen Larin
POLS484,The Politics of Globalization,84,Andrew Grant
POLS494,Topics in Political Studies,58,Surulola Eke
PSYC100,Principles of Psychology,77,Anna Taylor
PSYC202,Statistics in Psychology,82,Sarah Yakimowski
PSYC203,Research Methods in Psychology,37,Daryl Wilson
